,bio,followers,following,img_url,is_verified,name,source,text,time,tweet_id,user_location,username
64,,2467,False,http://pbs.twimg.com/profile_images/879962167771971584/gcebvT9x_normal.jpg,False,Alauddin علاء الدين,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @BhavikaKapoor5: After Independence from smallest needle to Mangalyaan rocket everything in India has been built by @INCIndia and BJP al…,Tue Mar 12 15:03:40 +0000 2019,1105484507744919553,"Maharashtra, India",Alauddin1809
65,Engineer (Rtd). Nation First & Fiercely Candid,130,False,http://pbs.twimg.com/profile_images/951499151811928069/MwJLawYU_normal.jpg,False,Bhogaraju🇮🇳,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @by2kaafi: Valson Thampu writes: 
""Church of South India, to take just one example, owns landed property worth Rs. 100000 to 300000 cror…",Tue Mar 12 15:03:40 +0000 2019,1105484507426127873,Telangana,bhovegora
66,,673,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,hem lata sharma,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @PrinceArihan: As a minority in India I feel unsafe for my family from some Christians because of my stand against clerical sexual abuse…,Tue Mar 12 15:03:40 +0000 2019,1105484507342360576,,hemabawa
67,"I'm a Mumbai based Property Consultant having a Pan India Network; My Areas of Interest are Politics, Business, Movies & Sports.",342,False,http://pbs.twimg.com/profile_images/1103656261256601600/O5iVEg9s_normal.jpg,False,Ejaz Ali Mirza,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nikhil_thatte: FFS nobody gave anything to anyone. There was a territory created by British imperialism which was divided, one of which…",Tue Mar 12 15:03:40 +0000 2019,1105484507191242752,Mumbai,ejaz_mirza
68,🇬🇧🇱🇰•DM Expert🧐🤨•CEO of SL Twitter🏦📈•,266,False,http://pbs.twimg.com/profile_images/1100225614022393858/xa_HIcVY_normal.jpg,False,Lance Wicks,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@champgne_paki Sri Lanka and Pakistan both beat India in Major Finals, SL In 2014 T20 WC and Pakistan in the 2017 Champions Trophy..🏆🏆🇱🇰🇵🇰",Tue Mar 12 15:03:40 +0000 2019,1105484507044605952,,lancewicks98
69,,414,False,http://pbs.twimg.com/profile_images/1039075838593916928/HPXiEB_o_normal.jpg,False,ramakrishnan,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @khanumarfa: The Hindutva ‘historians’ want 21st century Indian Muslims to be made accountable and answerable for ‘injustices’ done by M…,Tue Mar 12 15:03:40 +0000 2019,1105484506859941888,"Chennai, India",ramakrishnan002
70,"Scientist-Earth Sciences, Climate Change & Variability, Data analyst: Views are my own but RT's are not endorsement. यतो धर्मस्ततो जयः
धर्मो रक्षति रक्षितः।",3255,False,http://pbs.twimg.com/profile_images/1476190505/DSC02365_normal.JPG,False,Ashok Jaswal 🇮🇳,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TrueIndology: 1) This item wanted to ""expose me"". He already stands naked in the first tweet of his thread.

Fake claim 1: ""Sherwan is…",Tue Mar 12 15:03:39 +0000 2019,1105484506587291648,"Dangoh (HP); Pune, India",ashok_jaswal
71,"Papa’s  girl😘
miss u papa ji😞",17,False,http://pbs.twimg.com/profile_images/1104082381458292736/W6n0HsPD_normal.jpg,False,gurpreet  bhatia,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @satyakumar_y: Towards a better India, #HarnessingYuvaShakti, #Modi govt. has taken innovative steps to make sure no one feels left out…",Tue Mar 12 15:03:39 +0000 2019,1105484506453008384,"Nizamabad, India",gurpree40381468
72,Programa de TV conducido por el Patriota @dcabellor todos los miércoles a las 7pm por @VTVcanal8 | Síguenos: https://t.co/wbZDjlPCIp -  https://t.co/6QzjLA49Ak,384254,False,http://pbs.twimg.com/profile_images/902981278118674432/R6zqIPC7_normal.jpg,True,Con el Mazo Dando,"<a href=""https://www.conelmazodando.com.ve/"" rel=""nofollow"">PostVitorPro</a>",¡Talento Criollo! “Miku” Fedor anotó y asistió en pase de su Bengaluru a la final de la Súper Liga de la India… https://t.co/xmBRdwdIs4,Tue Mar 12 15:03:39 +0000 2019,1105484506407096321,Latinoamérica Unida,ConElMazoDando
73,"Ex-Journalist | Currently PhD Research Scholar, International Relations @Southasianuni |

THIS ACCOUNT IS A THOUGHT EXPERIMENT. You are the Guinea Pig 🤓",20550,False,http://pbs.twimg.com/profile_images/1103540012258275328/1_q6Pxeu_normal.jpg,True,Monica,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Interestingly, foreign policy warriors who jump on the govt over slightest loss that India faces haven't condemned… https://t.co/JLfBLgXU7Y",Tue Mar 12 15:03:39 +0000 2019,1105484504792211456,,TrulyMonica
